"parameter","prior","approximation","statistic","p_value","KS_x","KS_y"
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0,0.0214570537711437
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0,0.0643711613134312
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0,0.107285268855719
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0,0.150199376398006
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0,0.193113483940294
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0,0.236027591482581
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0,0.278941699024868
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0,0.321855806567156
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0,0.364769914109443
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0,0.407684021651731
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0,0.450598129194018
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0,0.493512236736306
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,2.37343617593607e-07,0.536420813612078
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,7.3550429015326e-05,0.577626553216725
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.000563433411195835,0.609125230956638
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.00122729290272322,0.636569845375406
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.00129711836528954,0.677856854824193
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.00297549105059266,0.681660917175648
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.00558894128350263,0.663675465515063
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.00585372021034766,0.700419599078884
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.00603407486037799,0.739131017567167
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.00690161039130069,0.761829499512026
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.0105521824528425,0.71967666122666
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.0112503045184074,0.746322876797131
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.0113223504916549,0.787558143105763
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.0159037417325458,0.723715020840197
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.0195370056217972,0.68196550382333
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.0205152539015491,0.702084117394599
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.0205449966565442,0.744305148540835
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.022304202319419,0.746225611717076
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.0235868287275295,0.759251496444837
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.0241084175561375,0.790011353124654
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.0249968115342247,0.812223784016395
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.0260480810224556,0.830640831071173
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.0283424471513786,0.820090792198155
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.0283578020158509,0.862647095154685
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.0288698156005566,0.893630077618789
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.0352831330174629,0.787098751381832
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.0362249604027815,0.808066057761109
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.0417950481055362,0.721183974219475
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.0422227690271702,0.754131174697168
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.0473918819065558,0.676592750999188
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.0493062413738256,0.674897764308688
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.0499897997454186,0.701883348324782
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.0516871410635088,0.705245396758822
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.0533552572540776,0.70928845964697
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.0538729158712692,0.740139899529642
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.05462454636651,0.765539242387608
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.0558080536356532,0.780874837013672
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.0563319836712694,0.811580138044025
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.0592388735262624,0.786756850555353
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.0596018677791911,0.821212335194414
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.0627457599184147,0.790866335064053
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.0661342254095898,0.754821198543392
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.0687584327564146,0.736585080737547
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.0840553435092067,0.423045060981054
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.0863234318396537,0.413107356838523
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.089876970213027,0.373215632525361
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.0911994830556591,0.38531206918101
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.0932733914457873,0.379899215989357
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.0955895082542994,0.368842334941709
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.0967902469410084,0.383776396865528
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.0992356768728068,0.369706214815199
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.101995427918682,0.348311608884753
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.102979634431555,0.368291381560511
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.104131293493602,0.384369114586266
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.106390350348548,0.374641865140777
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.110334674264495,0.325643915277236
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.113047133354255,0.305351323551968
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.113464428000436,0.338541480857852
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.114368290746327,0.360393452947369
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.115341580255427,0.380627617579473
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.117724480785323,0.368014518187598
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.118380557596044,0.395640487439342
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.118623585014949,0.432891482480336
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.119494249759524,0.455517046360909
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.125595948725564,0.356247165571928
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.126940277448793,0.367835240715551
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.132397109699483,0.28359227653469
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.134507507751088,0.277329128100597
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.134709804729775,0.315529238538602
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.134780234714926,0.356802161184244
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.137544327667846,0.335306378571036
